problem_id,similar_problem_id,similarity_score,rank,domain,subtopic,difficulty_label,similar_domain,similar_subtopic,similar_difficulty_label
MATHNET-0490,MATHNET-04ch,1.0,2,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0490,MATHNET-04st,1.0,1,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Algebraic Expressions | Equations and Inequalities,Easy
MATHNET-0cy4,MATHNET-0anq,1.0,8,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-0cy4,MATHNET-09u9,1.0,7,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-0cy4,MATHNET-0490,1.0,6,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-0cy4,MATHNET-0au5,1.0,5,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Intermediate Algebra,Easy
MATHNET-0cy4,MATHNET-0ar9,1.0,4,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0cy4,MATHNET-0a32,1.0,3,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0cy4,MATHNET-04ch,1.0,2,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0cy4,MATHNET-04st,1.0,1,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions | Equations and Inequalities,Easy
MATHNET-0cy4,MATHNET-0lad,1.0,10,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-0cy4,MATHNET-0br0,1.0,9,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy,Algebra,Abstract Algebra,Easy
MATHNET-04e2,MATHNET-0f03,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04e2,MATHNET-01t8,1.0,5,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04e2,MATHNET-09jr,1.0,4,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04i0,MATHNET-0aut,1.0,2,Algebra | Geometry,Algebraic Expressions | Plane Geometry,Easy,Algebra | Geometry,Intermediate Algebra | Plane Geometry,Easy
MATHNET-04i0,MATHNET-0bh8,1.0,1,Algebra | Geometry,Algebraic Expressions | Plane Geometry,Easy,Algebra | Geometry,Algebraic Expressions | Plane Geometry,Easy
MATHNET-0cx2,MATHNET-09i8,1.0,1,Algebra | Number Theory,Divisibility / Factorization | Prealgebra / Basic Algebra,Easy,Algebra | Number Theory,Diophantine Equations | Prealgebra / Basic Algebra,Easy
MATHNET-02cu,MATHNET-0anv,1.0,3,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-02cu,MATHNET-0kn4,1.0,2,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-02cu,MATHNET-02c0,1.0,1,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-09hn,MATHNET-0l80,1.0,1,Algebra | Number Theory,Other | Prealgebra / Basic Algebra,Easy,Algebra | Number Theory,Algebraic Expressions | Other,Easy
MATHNET-04iq,MATHNET-0f78,1.0,4,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics | Graph Theory,Easy
MATHNET-04iq,MATHNET-0eyj,1.0,3,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Graph Theory,Easy
MATHNET-04iq,MATHNET-0dd1,1.0,2,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-04iq,MATHNET-04hy,1.0,1,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-01nc,MATHNET-04uw,1.0,10,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01nc,MATHNET-0gg9,1.0,9,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01nc,MATHNET-0eyx,1.0,8,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01nc,MATHNET-0c9v,1.0,7,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01nc,MATHNET-0dgr,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0b09,MATHNET-09jj,1.0,6,Number Theory,Modular Arithmetic | Residues and Primitive Roots,Easy,Number Theory,Diophantine Equations | Divisibility / Factorization,Easy
MATHNET-0b09,MATHNET-0c6i,1.0,4,Number Theory,Modular Arithmetic | Residues and Primitive Roots,Easy,Number Theory,Diophantine Equations | Divisibility / Factorization,Easy
MATHNET-0b09,MATHNET-0698,1.0,3,Number Theory,Modular Arithmetic | Residues and Primitive Roots,Easy,Number Theory,Diophantine Equations | Divisibility / Factorization | Modular Arithmetic,Easy
MATHNET-0b09,MATHNET-0c1k,1.0,1,Number Theory,Modular Arithmetic | Residues and Primitive Roots,Easy,Number Theory,Divisibility / Factorization | Modular Arithmetic,Easy
MATHNET-09zj,MATHNET-0khx,1.0,1,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics | Graph Theory,Easy
MATHNET-01nc,MATHNET-0dgx,1.0,5,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01nc,MATHNET-09k0,1.0,4,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01nc,MATHNET-09ka,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01nc,MATHNET-0cie,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01nc,MATHNET-0fg6,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0kn4,MATHNET-0anv,1.0,3,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0kn4,MATHNET-02cu,1.0,2,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-0kn4,MATHNET-02c0,1.0,1,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-04iq,MATHNET-04up,1.0,8,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-04iq,MATHNET-0gme,1.0,7,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-04iq,MATHNET-0f9f,1.0,6,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics | Graph Theory,Easy
MATHNET-04iq,MATHNET-001e,1.0,5,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-04e2,MATHNET-0gg9,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04e2,MATHNET-09k0,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04e2,MATHNET-0dgx,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-04uw,1.0,10,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-09ka,1.0,9,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-0cie,1.0,8,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-0dgr,1.0,7,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0490,MATHNET-0cy4,1.0,6,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,Easy
MATHNET-0490,MATHNET-0au5,1.0,5,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Intermediate Algebra,Easy
MATHNET-0490,MATHNET-0ar9,1.0,4,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-04uw,MATHNET-09k0,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04uw,MATHNET-0dgx,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-001e,MATHNET-0gme,1.0,8,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-001e,MATHNET-04iq,1.0,7,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-0fg6,MATHNET-04uw,1.0,10,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0fg6,MATHNET-0gg9,1.0,9,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0fg6,MATHNET-0eyx,1.0,8,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0fg6,MATHNET-0c9v,1.0,7,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0fg6,MATHNET-0dgr,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0fg6,MATHNET-0dgx,1.0,5,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01t8,MATHNET-09jr,1.0,10,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01t8,MATHNET-0f03,1.0,9,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01t8,MATHNET-01nc,1.0,8,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01t8,MATHNET-0fg6,1.0,7,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01t8,MATHNET-0c1x,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0a32,MATHNET-0br0,1.0,5,Algebra,Algebraic Expressions,Easy,Algebra,Abstract Algebra,Easy
MATHNET-0a32,MATHNET-0lad,1.0,4,Algebra,Algebraic Expressions,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-01t8,MATHNET-04uw,1.0,5,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01t8,MATHNET-0gg9,1.0,4,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
