problem_id,country,domain,subtopic,difficulty,difficulty_source,concepts,prerequisites,solution_depth,estimated_time_minutes,proof_required,reasoning_intensity,calculation_intensity,major_steps,problem_type,language,data_type,problem_text,final_answer,solution_length,solution_words,solution_paragraphs,equation_count,reasoning_indicators,proof_indicators,case_analysis,calculation_indicators,solution_major_steps,solution_available,equation_density,reasoning_density,proof_density,log_solution_length,log_equation_count,length_score,equation_score,reasoning_score,proof_score,case_score,steps_score,problem_type_score,domain_score,solution_availability_score,difficulty_score,difficulty_label,student_skill,recommendation_skill,weakness_priority,weakness_classification,weakness_confidence,skill_unknown,difficulty_gap,difficulty_fit,adaptive_score,training_zone,target_domain,title,competition,year,problem_number,section,metadata_status,match_score,source,source_url
MATHNET-0l5r,United States,Algebra | Number Theory,Algebraic Expressions | Modular Arithmetic,3,unknown,Polynomials mod p | Sequences and Series > Sums and products,,,,True,,,,proof and answer,,real,"Problem:

For any integer $x$, let
$$
  f(x) = 100! \left(1 + x + \frac{x^{2}}{2!} + \frac{x^{3}}{3!} + \dots + \frac{x^{100}}{100!}\right).
$$
A positive integer $a$ is chosen such that $f(a) - 20$ is divisible by $101^{2}$. Compute the remainder when $f(a + 101)$ is divided by $101^{2}$.",1939,1101,173,4,13,1,0,0,0,4,1,0.0751445086705202,0.0057803468208092,0.0,7.004881989712859,2.6390573296152584,53.95,31.45,47.8,34.2,32.800000000000004,62.5,90,77.5,100,48.1025,Medium,42.0,42.0,27.04,MEDIUM,0.05,False,6.102499999999999,49.795,36.14,True,Number Theory,HMMT February,HMMT February,,,,COMPETITION_ONLY,,MathNet,
MATHNET-023c,Brazil,Algebra | Number Theory,Divisibility / Factorization | Modular Arithmetic | Prealgebra / Basic Algebra,3,unknown,Fractions | Least common multiples (lcm) | Greatest common divisors (gcd) | Factorization techniques,,,,True,,,,proof and answer,,real,"Problem:

Duas frações irredutíveis têm seus denominadores iguais a 600 e 700. Encontrar o valor mínimo para o denominador da soma das frações.",168,767,135,4,22,1,0,0,0,4,1,0.1629629629629629,0.0074074074074074,0.0,6.643789733147672,3.1354942159291497,39.6,50.74999999999999,47.8,34.2,32.800000000000004,62.5,90,77.5,100,48.1275,Medium,42.0,42.0,27.04,MEDIUM,0.05,False,6.127499999999998,49.745000000000005,36.12,True,Number Theory,Nível 3,Nível 3,,,,COMPETITION_ONLY,,MathNet,
MATHNET-09qh,Netherlands,Discrete Mathematics | Number Theory,Combinatorics | Other,3,unknown,"Coloring schemes, extremal arguments | Induction / smoothing",,,,True,,,,proof and answer,,real,"Problem:

Alle positieve gehele getallen worden rood of groen gekleurd, zodat aan de volgende voorwaarden wordt voldaan:
- Er zijn zowel rode als groene getallen.
- De som van drie (niet noodzakelijk verschillende) rode getallen is rood.
- De som van drie (niet noodzakelijk verschillende) groene getallen is groen.
Vind alle mogelijke kleuringen die hieraan voldoen.","Exactly two colorings: either all odd integers are red and all even integers are green, or all odd integers are green and all even integers are red.",1565,279,5,18,0,0,0,0,5,1,0.064516129032258,0.0,0.0,7.356279876550748,2.9444389791664403,68.60000000000001,42.8,19.7,34.2,32.800000000000004,71.0,90,81.0,100,48.14,Medium,42.0,42.0,27.04,MEDIUM,0.05,False,6.140000000000001,49.72,36.11,True,Number Theory,Dutch TST,Dutch TST,,,,COMPETITION_ONLY,,MathNet,
MATHNET-0jld,United States,Number Theory,Divisibility / Factorization | Number-Theoretic Functions,3,unknown,σ (sum of divisors) | Factorization techniques,,,,True,,,,proof and answer,,real,"Problem:

Let $D$ be the set of divisors of $100$. Let $Z$ be the set of integers between $1$ and $100$, inclusive. Mark chooses an element $d$ of $D$ and an element $z$ of $Z$ uniformly at random. What is the probability that $d$ divides $z$?",217/900,494,94,5,16,1,0,1,0,5,1,0.1702127659574468,0.0106382978723404,0.0,6.20455776256869,2.833213344056216,24.35,37.9,47.8,34.2,69.95,71.0,90,80.0,100,47.84,Medium,42.0,42.0,27.04,MEDIUM,0.05,False,5.840000000000003,49.68000000000001,36.1,True,Number Theory,HMMT 2014,HMMT,2014.0,,,YEAR_ONLY,,MathNet,
MATHNET-084e,Italy,Discrete Mathematics | Number Theory,Combinatorics | Divisibility / Factorization,3,unknown,Inclusion-exclusion | Least common multiples (lcm),,,,True,,,,proof and answer,,real,"Problem:

Su una scacchiera $75 \times 75$ le righe e le colonne sono numerate da 1 a 75. Chiara vuole mettere una pedina in tutte e sole le caselle che abbiano una coordinata pari e l'altra multipla di 3. Quante pedine disporrà in tutto sulla scacchiera?",1706,1306,225,6,21,0,0,0,0,6,1,0.0933333333333333,0.0,0.0,7.175489713624222,3.091042453358316,61.35,49.0,19.7,34.2,32.800000000000004,77.35,90,81.0,100,48.255,Medium,42.0,42.0,27.04,MEDIUM,0.05,False,6.255000000000003,49.489999999999995,36.02,True,Number Theory,Progetto Olimpiadi di Matematica,Progetto Olimpiadi di Matematica,,,,COMPETITION_ONLY,,MathNet,
MATHNET-02vo,Brazil,Discrete Mathematics,Combinatorics,4,unknown,"Coloring schemes, extremal arguments | Invariants / monovariants",,,,True,,,,proof and answer,,real,"Problem:

Cada um dos números $1,2,3, \ldots, 25$ é arranjado em uma das casas de um tabuleiro $5 \times 5$. Em cada linha, eles aparecem em ordem crescente, da esquerda para a direita. Encontre os valores máximo e mínimo possíveis para as somas dos números da terceira coluna.","minimum 45, maximum 85",3141,634,12,64,0,0,0,0,12,1,0.1009463722397476,0.0,0.0,8.052614818815567,4.174387269895637,88.1,86.75,19.7,34.2,32.800000000000004,92.45,90,82.0,100,60.82750000000001,Hard,0.0,55.0,20.0,NOT_ENOUGH_DATA,0.0,True,5.827500000000008,49.655000000000015,31.86,True,Discrete Mathematics,Brazilian Mathematical Olympiad,Brazilian Mathematical Olympiad,,,,COMPETITION_ONLY,,MathNet,
MATHNET-0457,China,Discrete Mathematics,Combinatorics,4,unknown,"Counting two ways | Pigeonhole principle | Coloring schemes, extremal arguments",,,,True,,,,proof only,English,real,Let $n$ be a positive integer. There are $3n$ women's volleyball teams attending a tournament. Each pair of teams play at most once (there are no ties in volleyball games). Assume that a total number of $3n^2$ games have been played. Prove that there exists a team whose number of winning games and number of losing games are both greater than or equal to $\frac{n}{4}$.,,1297,209,1,22,2,9,0,2,1,1,0.1052631578947368,0.0095693779904306,0.0430622009569378,7.168579897264035,3.1354942159291497,60.55,50.74999999999999,62.2,97.7,32.800000000000004,19.85,100,82.0,100,61.182500000000005,Hard,0.0,55.0,20.0,NOT_ENOUGH_DATA,0.0,True,6.1825000000000045,49.63499999999999,31.85,True,Discrete Mathematics,CGMO 2022,CGMO,2022.0,,,YEAR_ONLY,,MathNet,
MATHNET-05zy,France,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,4,unknown,"Geometric Inequalities > Optimization in geometry | Miscellaneous > Distance chasing | Coloring schemes, extremal arguments",,,,True,,,,proof and answer,,real,"Problem:

On considère un $2022$-gone régulier de côté $1$. Les points sont numérotés $A_{1}, \ldots, A_{2022}$ dans un certain ordre. Au départ, Elie part du point $A_{1}$, puis saute de point en point vers le point $A_{2}$, puis de $A_{2}$ vers $A_{3}$ etc... chaque fois en prenant l'arc le plus court. Lorsqu'il atteint $A_{2022}$, il rejoint finalement $A_{1}$. Déterminer la valeur maximale de la somme des longueurs des arcs qu'a parcouru Elie, parmi toutes les numérotations de points possibles.",2042222,3765,416,11,54,0,0,0,0,11,1,0.1298076923076923,0.0,0.0,8.233768709217097,4.007333185232471,92.2,82.75,19.7,34.2,32.800000000000004,90.95,90,80.0,100,60.7975,Hard,0.0,55.0,20.0,NOT_ENOUGH_DATA,0.0,True,5.797499999999999,49.595,31.84,True,Discrete Mathematics,PRÉPARATION OLYMPIQUE FRANÇAISE DE MATHÉMATIQUES,PRÉPARATION OLYMPIQUE FRANÇAISE DE MATHÉMATIQUES,,,,COMPETITION_ONLY,,MathNet,
MATHNET-07ko,Ireland,Algebra | Discrete Mathematics | Number Theory,Combinatorics | Other | Prealgebra / Basic Algebra,4,unknown,Integers | Induction / smoothing | Counting two ways,,,,True,,,,proof and answer,English,real,"Find $a_3, a_4, \dots, a_{2008}$, such that $a_i = \pm 1$ for $i = 3, \dots, 2008$ and
$$
\sum_{i=3}^{2008} a_i 2^i = 2008,
$$
and show that the numbers $a_3, a_4, \dots, a_{2008}$ are uniquely determined by these conditions.",a3 = a5 = a6 = a7 = a8 = a9 = a2008 = +1 and a4 = a10 = a11 = a12 = ... = a2007 = -1; this assignment exists and is unique.,1378,291,2,34,1,2,0,0,2,1,0.1168384879725085,0.0034364261168384,0.0068728522336769,7.229113877793302,3.555348061489413,64.45,67.25,47.8,83.85000000000001,32.800000000000004,36.65,90,79.0,100,60.510000000000005,Hard,0.0,55.0,20.0,NOT_ENOUGH_DATA,0.0,True,5.510000000000005,49.02000000000001,31.61,True,Discrete Mathematics,Irish Mathematical Olympiad,Irish Mathematical Olympiad,,,,COMPETITION_ONLY,,MathNet,
MATHNET-01k3,Belarus,Discrete Mathematics,Combinatorics,4,unknown,Games / greedy algorithms | Induction / smoothing,,,,True,,,,proof and answer,English,real,"Integers from $1$ to $80$ are written on a blackboard. Tom and Jerry play the following game. They, in turn (Tom is the first), erase these numbers. Per move it is allowed to erase exactly $1$, or exactly $5$, or exactly $8$ numbers. The player wins if he erases the last number.
Who wins if both of the players play to win?",Jerry,1555,322,5,16,2,0,4,0,5,1,0.0496894409937888,0.0062111801242236,0.0,7.349873704738337,2.833213344056216,68.4,37.9,62.2,34.2,89.35,71.0,90,82.0,100,61.57000000000001,Hard,0.0,55.0,20.0,NOT_ENOUGH_DATA,0.0,True,6.570000000000007,48.859999999999985,31.54,True,Discrete Mathematics,60th Belarusian Mathematical Olympiad,60th Belarusian Mathematical Olympiad,,,,COMPETITION_ONLY,,MathNet,
